YYYYMM;PRCP
190203;1580.0
190204;880.0
190205;520.0
190206;240.0
190207;100.0
190208;250.0
190209;500.0
190210;840.0
190211;1080.0
190212;270.0
190301;300.0
190302;400.0
190303;320.0
190304;1020.0
190305;770.0
190306;1070.0
190307;100.0
190308;1040.0
190309;410.0
190310;640.0
190311;1490.0
190312;1060.0
190401;470.0
190402;690.0
190403;1610.0
190404;1750.0
190405;1170.0
190406;220.0
190407;350.0
190408;300.0
190409;350.0
190410;1550.0
190411;340.0
190412;270.0
190501;640.0
190502;150.0
190503;480.0
190504;1120.0
190505;970.0
190506;490.0
190507;230.0
190508;150.0
190509;960.0
190510;1270.0
190511;1990.0
190512;1450.0
190601;200.0
190602;710.0
190603;580.0
190604;1790.0
190605;1080.0
190606;820.0
190607;470.0
190608;340.0
190609;110.0
190610;1360.0
190611;990.0
190612;500.0
190701;290.0
190702;1140.0
190703;2070.0
190704;1930.0
190705;900.0
190706;610.0
190707;690.0
190708;380.0
190709;740.0
190710;1050.0
190711;910.0
190712;680.0
190801;760.0
190802;540.0
190803;1200.0
190804;890.0
190805;350.0
190806;330.0
190807;390.0
190808;550.0
190809;790.0
190810;2680.0
190811;1070.0
190812;1200.0
190901;400.0
190902;1160.0
190903;90.0
190904;1140.0
190905;1380.0
190906;710.0
190907;880.0
190908;590.0
190909;470.0
190910;1110.0
190911;880.0
190912;540.0
191001;1320.0
191002;520.0
191003;2190.0
191004;800.0
191005;2410.0
191006;850.0
191007;1140.0
191008;310.0
191009;790.0
191010;2090.0
191011;790.0
191012;1230.0
191101;470.0
191102;1300.0
191103;920.0
191104;1790.0
191105;1060.0
191106;500.0
191107;350.0
191108;190.0
191109;60.0
191110;460.0
191111;880.0
191112;360.0
191201;520.0
191202;580.0
191203;540.0
191204;1040.0
191205;530.0
191206;260.0
191207;460.0
191208;1140.0
191209;580.0
191210;1000.0
191211;1920.0
191212;890.0
191301;200.0
191302;340.0
191303;790.0
191304;2440.0
191305;1000.0
191306;470.0
191307;170.0
191308;180.0
191309;1800.0
191310;1270.0
191311;1370.0
191312;840.0
191401;290.0
191402;300.0
191403;230.0
191404;1720.0
191405;220.0
191406;220.0
191407;130.0
191408;400.0
191409;140.0
191410;1360.0
191411;2150.0
191412;1030.0
191501;420.0
191502;870.0
191503;290.0
191504;1350.0
191505;1360.0
191506;670.0
191507;490.0
191508;1140.0
191509;50.0
191510;1480.0
191511;1170.0
191512;670.0
191601;450.0
191602;320.0
191603;1250.0
191604;1520.0
191605;340.0
191606;1100.0
191607;440.0
191608;570.0
191609;490.0
191610;1400.0
191611;800.0
191612;670.0
191701;1010.0
191702;610.0
191703;1200.0
191704;1990.0
191705;1920.0
191706;680.0
191707;390.0
191708;970.0
191709;450.0
191710;740.0
191711;1550.0
191712;840.0
191801;610.0
191802;600.0
191803;910.0
191804;2390.0
191805;990.0
191806;230.0
191807;190.0
191808;180.0
191809;340.0
191810;1670.0
191811;1840.0
191812;170.0
191901;560.0
191902;300.0
191903;440.0
191904;1290.0
191905;740.0
191906;530.0
191907;700.0
191908;570.0
191909;1000.0
191910;650.0
191911;1200.0
191912;1120.0
192001;280.0
192002;680.0
192003;580.0
192004;570.0
192005;2000.0
192006;430.0
192007;890.0
192008;420.0
192009;780.0
192010;2310.0
192011;380.0
192012;820.0
192101;580.0
192102;1040.0
192103;2380.0
192104;1380.0
192105;1880.0
192106;880.0
192107;690.0
192108;280.0
192109;1080.0
192110;1900.0
192111;590.0
192112;1260.0
192201;20.0
192202;1030.0
192203;1660.0
192204;850.0
192205;1090.0
192206;1520.0
192207;1020.0
192208;80.0
192209;330.0
192210;1080.0
192211;1190.0
192212;960.0
192301;70.0
192302;110.0
192303;500.0
192304;710.0
192305;920.0
192306;290.0
192307;530.0
192308;550.0
192309;180.0
192310;870.0
192311;580.0
192312;1140.0
192401;0.0
192402;30.0
192403;550.0
192404;420.0
192405;800.0
192406;720.0
192407;480.0
192408;210.0
192409;1990.0
192410;1490.0
192411;2480.0
192412;1110.0
192501;180.0
192502;870.0
192503;1620.0
192504;2480.0
192505;560.0
192506;320.0
192507;400.0
192508;610.0
192509;860.0
192510;250.0
192511;720.0
192512;230.0
192601;70.0
192602;370.0
192603;580.0
192604;440.0
192605;730.0
192606;940.0
192607;250.0
192608;530.0
192609;320.0
192610;1680.0
192611;1230.0
192612;1510.0
192701;390.0
192702;840.0
192703;670.0
192704;960.0
192705;1300.0
192706;490.0
192707;650.0
192708;510.0
192709;870.0
192710;1370.0
192711;910.0
192712;170.0
192801;510.0
192802;750.0
192803;840.0
192804;730.0
192805;970.0
192806;380.0
192807;570.0
192808;390.0
192809;340.0
192810;320.0
192811;2180.0
192812;1400.0
192901;40.0
192902;40.0
192903;760.0
192904;1360.0
192905;1250.0
192906;660.0
192907;360.0
192908;210.0
192909;520.0
192910;820.0
192911;140.0
192912;90.0
193001;780.0
193002;1130.0
193003;980.0
193004;820.0
193005;230.0
193006;790.0
193007;740.0
193008;500.0
193009;190.0
193010;1360.0
193011;900.0
193012;440.0
193101;260.0
193102;770.0
193103;190.0
193104;630.0
193105;720.0
193106;720.0
193107;930.0
193108;220.0
193109;700.0
193110;520.0
193111;1750.0
193112;870.0
193201;1110.0
193202;580.0
193203;400.0
193204;840.0
193205;1210.0
193206;470.0
193207;530.0
193208;170.0
193209;920.0
193210;1860.0
193211;2170.0
193212;780.0
193301;200.0
193302;250.0
193303;1010.0
193304;1960.0
193305;1230.0
193306;890.0
193307;280.0
193308;490.0
193309;590.0
193310;1330.0
193311;2320.0
193312;1780.0
193401;430.0
193402;660.0
193403;1180.0
193404;370.0
193405;1260.0
193406;490.0
193407;560.0
193408;330.0
193409;430.0
193410;1420.0
193411;1540.0
193412;510.0
193501;950.0
193502;1100.0
193503;1320.0
193504;1280.0
193505;770.0
193506;860.0
193507;750.0
193508;730.0
193509;740.0
193510;1230.0
193511;3180.0
193512;140.0
193601;570.0
193602;350.0
193603;990.0
193604;570.0
193605;1200.0
193606;740.0
193607;430.0
193608;710.0
193609;370.0
193610;1460.0
193611;840.0
193612;1550.0
193701;940.0
193702;550.0
193703;620.0
193704;500.0
193705;1010.0
193706;370.0
193707;630.0
193708;556.6666666666666
193709;1566.6666666666667
193710;1300.0
193711;1530.0
193712;795.0
193801;510.0
193802;400.0
193803;580.0
193804;927.5
193805;1635.0
193806;747.5
193807;630.0
193808;1725.0
193809;1070.0
193810;1970.0
193811;1664.0
193812;822.5
193901;162.0
193902;56.0
193903;384.0
193904;472.0
193905;1126.0
193906;1188.0
193907;982.0
193908;924.0
193909;1596.0
193910;1624.0
193911;1286.0
193912;1464.0
194001;262.8
194002;190.75
194003;151.0
194004;566.8
194005;385.75
194006;857.8
194007;824.8
194008;712.6
194009;1411.6
194010;1848.0
194011;1602.0
194012;396.0
194101;359.25
194102;338.0
194103;150.66666666666666
194104;216.75
194105;613.6666666666666
194106;553.3333333333334
194107;590.5
194108;1450.25
194109;1005.0
194110;1004.0
194111;819.5
194112;472.0
194201;274.5
194202;213.4
194203;519.6
194204;1407.2
194205;1908.0
194206;1566.0
194207;918.8
194208;1393.8
194209;1712.4
194210;1958.8
194211;1915.8
194212;775.8
194301;400.4
194302;334.6
194303;390.4
194304;1252.2
194305;1467.0
194306;1796.6666666666667
194307;1581.3333333333333
194308;1629.0
194309;1131.5
194310;1796.5
194311;1623.6
194312;513.0
194401;253.5
194402;445.5
194403;723.0
194404;685.0
194405;1411.5
194406;825.0
194407;230.0
194408;585.5
194409;354.5
194410;1839.5
194411;637.0
194412;639.0
194501;18.25
194502;173.75
194503;134.25
194504;696.0
194505;1644.4
194506;1392.8
194507;830.4
194508;1504.2
194509;897.25
194510;2002.25
194511;1539.3333333333333
194512;952.25
194601;449.5
194602;195.4
194603;373.0
194604;701.25
194605;1141.0
194606;225.5
194607;305.2
194608;1119.4
194609;668.0
194610;1960.5
194611;888.5
194612;532.75
194701;397.3333333333333
194702;275.0
194703;354.0
194704;434.0
194705;1026.3333333333333
194706;1406.6666666666667
194707;1218.3333333333333
194708;712.0
194709;1467.0
194710;2522.6666666666665
194711;682.5
194712;268.6666666666667
194801;61.25
194802;158.28571428571428
194803;707.1428571428571
194804;1526.7142857142858
194805;1965.4285714285713
194806;1237.857142857143
194807;1191.142857142857
194808;764.4285714285714
194809;1287.857142857143
194810;1182.6666666666667
194811;1057.4285714285713
194812;251.71428571428572
194901;143.5
194902;215.5
194903;606.5
194904;1071.75
194905;1804.75
194906;1755.75
194907;1270.5
194908;1682.0
194909;1918.5
